Title,Description,Organization,Location,Type,Status,Tags,Expiry Date,Family Friendly,Remote,Added By,Admin Description,Giver Applications,Volunteers Required,Approved by Admin,Rejected by Admin
"Receptionist","The Millenium Chapel is looking for volunteers to carry out reception work at their premises.  ","Millennium Chapel - Love Kitchen","Paceville, St Julian's, Malta",Ongoing,Active,"Administration, Health and Human Services, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Receptionist","We are seeking friendly and organized volunteers to assist with reception duties at our facility. Your help will ensure that our front desk runs smoothly and that visitors feel welcomed and supported."," YMCA","Msida, Malta",Ongoing,Active,"Administration, Social/Care giving, Working Inside, Working with people",2025-04-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Shop Assistant ","Koperattivi Malta is looking for volunteers to assist in the Ta' Qali Food Coop shop.  The volunteer will be assisting clients in the shop and stacking local fruits and vegetables.  ","Koperattivi Malta","Ta' Qali, Attard, Malta",Ongoing,Active,"Retail, Environmental, Anything with Food, Working with people, Working Inside",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"St Joseph's Home Educational Program - Tutors","We are looking for dedicated and committed volunteers to join our team of tutors for the afterschool educational program.  Every week from Monday to Friday afterschool hours a team of tutors provide children and young persons residing at St Joseph's with one-to-one tuition.  The educational levels vary from Primary School Level to Post-Secondary Level.  Volunteers are expected to engage in this program for at least 6 months. ","St Joseph's Home Educational Program","Santa Venera, Malta",Ongoing,Active,"Children/Young people, Educational, Social/Care giving, Working Inside, Working with people, Working alone, Working as part of a team",2025-05-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Teaching Basic Budgeting Skills YMCA","We are seeking knowledgeable and enthusiastic volunteers to help teach budgeting skills to our community members. Your expertise will empower individuals to take control of their financial lives and achieve their financial goals."," YMCA","Msida, Malta",Ongoing,Active,"Educational, Social/Care giving, Working Inside, Working with people",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Teaching Basic Cooking Skills at YMCA ","We are looking for enthusiastic volunteers to teach basic cooking skills to our community members at the YMCA. Your expertise will help individuals learn essential life skills and promote healthy eating habits."," YMCA","Msida, Malta",One-time,Active,"Anything with Food, Social/Care giving, Working Inside, Working with people",2025-02-28,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Teaching basic home maintenance skills at YMCA ","We are looking for knowledgeable and enthusiastic volunteers to teach basic home maintenance skills to our community members at the YMCA. Your expertise will help individuals gain valuable skills to maintain their homes and handle minor repairs."," YMCA","Msida, Malta",Ongoing,Active,"Educational, Maintenance, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Team Building preparation","We are seeking enthusiastic volunteers to help organize and facilitate team-building activities. Your involvement will help foster a sense of community and collaboration among our participants"," YMCA","Msida, Malta",Ongoing,Active,"Educational, Social/Care giving, Working Inside, Working as part of a team, Working with people",2025-03-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Tik Tok Management YMCA ","YMCA is looking for a volunteer Tik Tok content creator to help us engage our community and promote our programs. If you have a passion for creating fun and engaging videos and a knack for social media, we would love to hear from you! "," YMCA","Msida, Malta",Ongoing,Active,"Administration, Arts and Culture, Working Inside, Social/Care giving, Working alone",2025-02-28,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Tik Tok Management YMCA ","YMCA is looking for a volunteer Tik Tok content creator to help us engage our community and promote our programs. If you have a passion for creating fun and engaging videos and a knack for social media, we would love to hear from you! "," YMCA","Msida, Malta",Ongoing,Active,"Administration, Arts and Culture, Working Inside, Social/Care giving, Working alone",2025-02-28,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Training YMCA staff on ADHD","Providing a training session to our staff team on ADHD and how to support individuals within our programs.  "," YMCA","Msida, Malta",One-time,Active,"Educational, Social/Care giving, Working Inside, Working with people",2025-03-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Typing songs","Are you detail-oriented and passionate about preserving literary works? Join our team as a Volunteer Typing and Inputting Assistant to help us digitize songs written or translated by Mr. Joe Aquilina! ","Music Ministry ","Malta",Ongoing,Active,"Administration, Arts and Culture, Working Inside, Working alone",2025-03-29,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Video Editor - YMCA ","YMCA is looking for volunteers to edit videos which will be uploaded on social media.  "," YMCA","Msida, Malta",Ongoing,Active,"Social/Care giving, Working Inside, Working alone",2025-03-31,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Volunteer Befriender","Volunteer Befrienders combat loneliness by accompanying lonely persons at community level to re-
establish human connectedness and stave off loneliness. Volunteer Befriending opportunities offer

you the chance to bring joy and companionship to individuals who feel lonely and emarginated.
Many people in our community are in desperate need of human connectedness. As a Volunteer
Befriender, you will be matched with a lonely individual whom you can support through weekly visits
and follow-up phone calls. Your presence and support can make a world of difference in their lives.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Seniors and People with Disabilities, Social/Care giving, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"VOLUNTEER FINANCIAL AND DEBT LITERACY SPECIALIST","Are you passionate about financial education and helping families overcome debt-related
challenges? Join us as a Volunteer Financial and Debt Literacy Specialist and make a meaningful
difference in the lives of families at risk of over-indebtedness.
Empower Through Education: As a Financial and Debt Literacy Specialist, you will have the
opportunity to equip individual families with the knowledge and skills they need to manage their
finances effectively. By providing guidance on budgeting, debt management, and financial planning,

Volunteer Appeal May 2023 v3 3
you can empower individuals to make informed decisions and regain control over their financial
difficulties.
Support at Risk Families: Many families face the overwhelming burden of debt, and your expertise
can be a lifeline for them. By volunteering your time and sharing your knowledge, you can help
vulnerable families break free from the cycle of debt, reduce financial stress, and build a more stable
and secure future.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Educational, Social/Care giving, Working Inside, Working as part of a team, Working with people",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"VOLUNTEER LEARNING SUPPORT TUTOR!","Learning Support Tutors nurture and guide the learning journey of vulnerable children, young
persons and young single parents. They have a crucial role in assisting our Community Social
Workers and SOAR Peer Mentors with the implementation of aspects of individual and family care
plans.
Support the younger generation: As a Volunteer Learning Support Tutor, you have the incredible
opportunity to make a difference in the lives of vulnerable primary and secondary school children
and young single parents in distress. By providing subject-specific learning support tuition, you can
help our service users thrive and strive to reach their full potential.
Be there for others: Joining our team of dedicated volunteer learning support tutors and become a
vital guide in the educational journey of our service users. Your commitment and expertise will
contribute to their academic success and overall personal growth and development.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Working with people, Working as part of a team, Children/Young people, Educational",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"VOLUNTEER MENTOR","Make a meaningful impact on someone's life! Volunteer Mentors have a crucial role in assisting our
Community Social Workers and SOAR Peer Mentors with the implementation of aspects of
individual and family care plans. Mentoring opportunities have been instrumental in transforming
lives since 2008.
Our NGO is seeking passionate, enthusiastic, committed, creative, loving-kind individuals to become
one-on-one Volunteer Mentors.
Transform Lives: As a Mentor, you have the opportunity to sensitively develop a one-on-one
supportive relationship with a service user of ours. Effective Mentors leave a lasting impact on the
lives of persons they are matched with. Your support and guidance can make all the difference to a
vulnerable young person or young mother who may have never have had a stable, adult, role model
to turn to for non-judgemental listening, understanding, love, affirmation and guidance.

Volunteer Appeal May 2023 v3 2
Matched to Make a Difference: We take great care in matching each accepted new volunteer with
a service user, considering a number of factors and common interests to ensure the best possible
Mentor-Mentee experience.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Social/Care giving, Working with people, Working as part of a team",2025-01-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Warehouse Volunteers","Help the MSPCA organise and manage the warehouse. The warehouse is open to receive donations Monday to Friday 9.00 to 15.00","MSPCA","Naxxar, Malta",Ongoing,Active,"Animal care, Retail, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
